example_id                                                          | status  | run_time        |
------------------------------------------------------------------- | ------- | --------------- |
./spec/application/services/blob_service_spec.rb[1:1:1:1]           | passed  | 0.00072 seconds |
./spec/application/services/blob_service_spec.rb[1:1:2:1]           | passed  | 0.00228 seconds |
./spec/application/services/blob_service_spec.rb[1:1:2:2:1]         | passed  | 0.00194 seconds |
./spec/application/services/blob_service_spec.rb[1:1:2:3:1]         | passed  | 0.0016 seconds  |
./spec/application/services/blob_service_spec.rb[1:2:1:1]           | passed  | 0.00199 seconds |
./spec/application/services/blob_service_spec.rb[1:2:2:1]           | passed  | 0.00338 seconds |
./spec/application/services/blob_service_spec.rb[1:2:2:2:1]         | passed  | 0.00344 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:1:1]         | passed  | 0.00168 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:1:2]         | passed  | 0.00113 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:1:3]         | passed  | 0.00222 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:2:1]         | passed  | 0.00123 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:2:2]         | passed  | 0.00127 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:3:1]         | passed  | 0.00207 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:3:2]         | passed  | 0.004 seconds   |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:4:1]         | passed  | 0.01736 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:1:4:2]         | passed  | 0.00175 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:2:1:1]         | passed  | 0.00308 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:2:1:2]         | passed  | 0.00265 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:2:2:1]         | passed  | 0.00352 seconds |
./spec/controllers/api/v1/blobs_controller_spec.rb[1:2:2:2]         | passed  | 0.00339 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:1]               | passed  | 0.00018 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:2]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:3]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:4]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:5]               | passed  | 0.00021 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:1:6]               | passed  | 0.00019 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:2:1]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:2:2]               | passed  | 0.00018 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:2:3]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:2:4]               | passed  | 0.00017 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:1:2:5]               | passed  | 0.00025 seconds |
./spec/domain/entities/blob_no_rails_spec.rb[1:2:1]                 | passed  | 0.00043 seconds |
./spec/domain/entities/blob_spec.rb[1:1:1:1]                        | passed  | 0.0002 seconds  |
./spec/domain/entities/blob_spec.rb[1:1:1:2]                        | passed  | 0.00048 seconds |
./spec/domain/entities/blob_spec.rb[1:1:1:3]                        | passed  | 0.00017 seconds |
./spec/domain/entities/blob_spec.rb[1:1:1:4]                        | passed  | 0.00018 seconds |
./spec/domain/entities/blob_spec.rb[1:1:1:5]                        | passed  | 0.00017 seconds |
./spec/domain/entities/blob_spec.rb[1:1:1:6]                        | passed  | 0.00019 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:1]                        | passed  | 0.00022 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:2]                        | passed  | 0.00017 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:3]                        | passed  | 0.00018 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:4]                        | passed  | 0.00017 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:5]                        | passed  | 0.00017 seconds |
./spec/domain/entities/blob_spec.rb[1:1:2:6]                        | passed  | 0.00043 seconds |
./spec/domain/entities/blob_spec.rb[1:2:1]                          | passed  | 0.00022 seconds |
./spec/factories_spec.rb[1:1]                                       | passed  | 0.00058 seconds |
./spec/factories_spec.rb[1:2]                                       | passed  | 0.00054 seconds |
./spec/infrastructure/factories/storage_factory_spec.rb[1:1:1:1]    | passed  | 0.00027 seconds |
./spec/infrastructure/factories/storage_factory_spec.rb[1:1:2:1]    | passed  | 0.00071 seconds |
./spec/infrastructure/factories/storage_factory_spec.rb[1:1:3:1]    | passed  | 0.00033 seconds |
./spec/infrastructure/factories/storage_factory_spec.rb[1:1:4:1]    | passed  | 0.00024 seconds |
./spec/infrastructure/factories/storage_factory_spec.rb[1:1:5:1]    | passed  | 0.00055 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:1:1:1] | passed  | 0.00118 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:1:2:1] | passed  | 0.00246 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:1:3]   | passed  | 0.00095 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:2:1]   | passed  | 0.00777 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:2:2:1] | passed  | 0.00119 seconds |
./spec/infrastructure/repositories/blob_repository_spec.rb[1:2:3:1] | passed  | 0.00133 seconds |
./spec/infrastructure/services/cache_service_spec.rb[1:1:1:1]       | passed  | 0.00268 seconds |
./spec/infrastructure/services/cache_service_spec.rb[1:1:2:1]       | passed  | 0.02823 seconds |
./spec/infrastructure/services/cache_service_spec.rb[1:2:1]         | passed  | 0.00079 seconds |
./spec/infrastructure/services/cache_service_spec.rb[1:2:2]         | passed  | 0.00124 seconds |
./spec/infrastructure/services/idempotency_service_spec.rb[1:1:1:1] | passed  | 0.0004 seconds  |
./spec/infrastructure/services/idempotency_service_spec.rb[1:1:2:1] | passed  | 0.0011 seconds  |
./spec/infrastructure/services/idempotency_service_spec.rb[1:2:1]   | passed  | 0.00044 seconds |
./spec/infrastructure/strategies/database_storage_spec.rb[1:1:1]    | passed  | 0.00045 seconds |
./spec/infrastructure/strategies/database_storage_spec.rb[1:2:1:1]  | passed  | 0.00044 seconds |
./spec/infrastructure/strategies/database_storage_spec.rb[1:2:2:1]  | passed  | 0.00262 seconds |
./spec/infrastructure/strategies/local_storage_spec.rb[1:1:1]       | passed  | 0.00036 seconds |
./spec/infrastructure/strategies/local_storage_spec.rb[1:2:1]       | passed  | 0.00095 seconds |
./spec/infrastructure/strategies/local_storage_spec.rb[1:3:1:1]     | passed  | 0.00111 seconds |
./spec/infrastructure/strategies/local_storage_spec.rb[1:3:2:1]     | passed  | 0.00074 seconds |
./spec/infrastructure/strategies/local_storage_spec.rb[1:3:3:1]     | passed  | 0.00073 seconds |
./spec/infrastructure/strategies/s3_storage_no_rails_spec.rb[1:1:1] | passed  | 0.00166 seconds |
./spec/infrastructure/strategies/s3_storage_spec.rb[1:1:1]          | passed  | 0.00059 seconds |
./spec/infrastructure/strategies/s3_storage_spec.rb[1:2:1]          | passed  | 0.00149 seconds |
./spec/infrastructure/strategies/s3_storage_spec.rb[1:2:2:1]        | passed  | 0.00125 seconds |
./spec/infrastructure/strategies/s3_storage_spec.rb[1:3:1]          | passed  | 0.00123 seconds |
./spec/infrastructure/strategies/s3_storage_spec.rb[1:3:2:1]        | passed  | 0.00096 seconds |
./spec/models/blob_tracker_spec.rb[1:1]                             | pending | 0.00001 seconds |
./spec/models/stored_blob_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/simple_test_spec.rb[1:1]                                     | passed  | 0.00017 seconds |
